#01/22/2015 Thursday   Dals Development Computer
*14:38:01 p  1 attendance_fullreport.php>  
*14:38:01 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:48:35 p  1 attendance_fullreport.php>  
*14:48:35 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:48:47 p  1 attendance_fullreport.php>  
*14:48:47 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:49:24 p  1 t.php>  
*14:49:24 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:49:33 p  1 attendance_fullreport.php>  
*14:49:33 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:49:46 p  1 attendance_fullreport.php>  
*14:49:46 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:49:47 p  1 attendance_fullreport.php>  
*14:49:47 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:49:48 p  1 attendance_user.php>  
*14:49:48 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:49:48 e  1 attendance_user.php> Bad Page Invoke. No UserID given.
*14:49:51 p  1 attendance_fullreport.php>  
*14:49:51 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:50:59 p  1 attendance_fullreport.php>  
*14:50:59 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:51:01 p  1 attendance_user.php>  
*14:51:01 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:51:05 p  1 attendance_fullreport.php>  
*14:51:05 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:51:58 p  1 attendance_fullreport.php>  
*14:51:58 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:52:00 p  1 attendance_user.php>  
*14:52:00 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:56:32 p  1 attendance_user.php>  
*14:57:31 p  1 attendance_user.php>  
*14:57:31 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:57:39 p  1 attendance_fullreport.php>  
