#01/21/2015 Wednesday   Dals Development Computer
*15:59:59 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:14:18 p  1 attendance.php>  
*16:14:18 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:14:52 p  1 attendance.php>  
*16:14:52 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:15:06 p  1 attendance.php>  
*16:15:06 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:15:31 p  1 attendance.php>  
*16:15:31 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:15:54 p  1 attendance.php>  
*16:15:54 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:16:10 p  1 attendance.php>  
*16:16:10 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:17:00 p  1 attendance.php>  
*16:17:00 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:18:22 p  1 attendance.php>  
*16:18:22 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:34:38 p  1 attendance.php>  
*16:34:38 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:36:14 p  1 attendance.php>  
*16:36:14 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:42:15 p  1 attendance.php>  
*16:42:15 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:44:25 p  1 attendance.php>  
*16:44:25 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:44:26 p  1 attendance_fullreport.php>  
*16:44:26 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:44:28 p  1 attendance_fullreport.php>  
*16:44:28 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:47:45 p  1 attendance_fullreport.php>  
*16:47:45 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:47:46 p  1 attendance_fullreport.php>  
*16:47:46 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:48:06 p  1 attendance.php>  
*16:48:07 p  1 attendance.php>  
*16:48:09 p  1 attendance_fullreport.php>  
*16:48:09 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:48:11 p  1 attendance.php>  
*16:48:12 p  1 attendance_fullreport.php>  
*16:48:12 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:50:18 p  1 attendance_fullreport.php>  
*16:50:18 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:51:23 p  1 attendance_fullreport.php>  
*16:51:23 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:51:25 p  1 attendance_fullreport.php>  
*16:51:25 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:51:29 p  1 attendance_uploadevents.php>  
*16:51:31 p  1 attendance_setup.php>  
*16:51:31 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:51:35 p  1 attendance_setup.php>  
*16:51:35 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:51:35 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:51:35 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*16:51:35 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:51:36 p  1 attendance_fullreport.php>  
*16:51:36 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:51:50 p  1 attendance_fullreport.php>  
*16:51:50 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:52:19 p  1 attendance_fullreport.php>  
*16:52:19 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:52:45 p  1 attendance_fullreport.php>  
*16:52:45 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:53:04 p  1 attendance_fullreport.php>  
*16:53:04 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:53:14 p  1 attendance_fullreport.php>  
*16:53:14 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:53:32 p  1 attendance_fullreport.php>  
*16:53:32 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:53:43 p  1 attendance_fullreport.php>  
*16:53:43 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:53:52 p  1 attendance_fullreport.php>  
*16:53:52 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:54:01 p  1 attendance_setup.php>  
*16:54:01 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:54:06 p  1 attendance_setup.php>  
*16:54:06 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:54:06 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:54:06 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*16:54:06 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:54:07 p  1 attendance_fullreport.php>  
*16:54:07 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:54:21 p  1 attendance_fullreport.php>  
*16:54:21 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:54:28 p  1 attendance_fullreport.php>  
*16:54:28 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:54:40 p  1 attendance_fullreport.php>  
*16:54:40 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:54:48 p  1 attendance_fullreport.php>  
*16:54:48 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:55:04 p  1 attendance_fullreport.php>  
*16:55:04 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:55:21 p  1 attendance_fullreport.php>  
*16:55:21 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:55:24 p  1 attendance_setup.php>  
*16:55:24 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:55:30 p  1 attendance_setup.php>  
*16:55:30 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:55:30 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
