#01/20/2015 Tuesday   Dals Development Computer
*13:45:37 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*13:45:37 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:46:18 p  1 reader_setup.php>  
*13:46:18 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:46:22 p  1 t.php>  
*13:46:22 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:46:43 p  1 admin.php>  
*13:46:45 p  1 reader.php>  
*13:46:46 p  1 reader_setup.php>  
*13:46:46 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:46:54 p  1 reader_setup.php>  
*13:46:54 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:46:54 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:46:54 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*13:46:54 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:46:58 p  1 t.php>  
*13:46:58 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:50:27 p  1 reader.php>  
*13:50:28 p  1 reader_setup.php>  
*13:50:28 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:50:30 p  1 reader_setup.php>  
*13:50:30 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:50:37 p  1 reader_setup.php>  
*13:50:37 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:51:07 p  1 reader_setup.php>  
*13:51:07 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:51:17 p  1 reader_setup.php>  
*13:51:17 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:51:17 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:51:17 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*13:51:17 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:51:22 p  1 reader_setup.php>  
*13:51:22 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:51:22 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:51:22 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*13:51:22 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:51:28 p  1 reader_setup.php>  
*13:51:28 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:51:29 p  1 reader_setup.php>  
*13:51:29 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:52:57 p  1 reader_setup.php>  
*13:52:57 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:53:04 p  1 reader_setup.php>  
*13:53:04 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:53:04 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:53:04 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*13:53:04 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:53:07 p  1 t.php>  
*13:53:07 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*13:53:41 p  1 account.php>  
*13:54:37 p  1 account_setup.php>  
*13:54:40 p  1 account_showscans.php>  
*13:54:43 p  1 account.php>  
*14:07:42 p  1 t.php>  
*14:07:42 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:12:34 p  1 account.php>  
*14:12:34 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:13:07 p  1 t.php>  
*14:13:07 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:13:12 p  1 account.php>  
*14:13:12 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:13:50 p  1 account.php>  
*14:13:50 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:14:11 p  1 account.php>  
*14:14:11 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
